,frame_length,num_frames,num_mels,total_power,dynamic_power,static_power,total_luts,fft_luts,lmfe_luts,total_ff,fft_ff,lmfe_ff,total_ramb18,fft_ramb18,lmfe_ramb18,total_dsp,fft_dsp,lmfe_dsp,max_clock_ns,consumed_cycles,max_freq_mhz,max_throughput_msamples_sec
0,128,8,10,0.198,0.105,0.093,4353,3811,543,2557,2210,347,4,4,0,40,28,12,15.084,225,66.29541235746487,301.7177877957512
1,128,8,13,0.197,0.105,0.093,4362,3821,542,2557,2210,347,4,4,0,40,28,12,15.084,225,66.29541235746487,301.7177877957512
2,128,8,15,0.198,0.106,0.093,4351,3815,537,2557,2210,347,4,4,0,40,28,12,15.084,225,66.29541235746487,301.7177877957512
3,128,8,20,0.198,0.106,0.093,4353,3818,536,2558,2210,348,4,4,0,40,28,12,15.084,225,66.29541235746487,301.7177877957512
4,128,16,10,0.198,0.105,0.093,4360,3819,542,2558,2210,348,4,4,0,40,28,12,15.084,225,66.29541235746487,603.4355755915024
5,128,16,13,0.199,0.106,0.093,4358,3816,543,2558,2210,348,4,4,0,40,28,12,15.084,225,66.29541235746487,603.4355755915024
6,128,16,15,0.198,0.105,0.093,4355,3815,541,2558,2210,348,4,4,0,40,28,12,15.084,225,66.29541235746487,603.4355755915024
7,128,16,20,0.199,0.106,0.093,4362,3816,547,2559,2210,349,4,4,0,40,28,12,15.084,225,66.29541235746487,603.4355755915024
8,128,32,10,0.198,0.105,0.093,4349,3809,541,2559,2210,349,4,4,0,40,28,12,15.084,225,66.29541235746487,1206.8711511830047
9,128,32,13,0.198,0.105,0.093,4355,3814,542,2559,2210,349,4,4,0,40,28,12,15.084,225,66.29541235746487,1206.8711511830047
10,128,32,15,0.198,0.105,0.093,4354,3813,542,2559,2210,349,4,4,0,40,28,12,15.084,225,66.29541235746487,1206.8711511830047
11,128,32,20,0.198,0.105,0.093,4361,3815,547,2560,2210,350,4,4,0,40,28,12,15.084,225,66.29541235746487,1206.8711511830047
12,128,64,10,0.198,0.106,0.093,4356,3813,544,2560,2210,350,4,4,0,40,28,12,15.084,225,66.29541235746487,2413.7423023660094
13,128,64,13,0.199,0.106,0.093,4355,3813,543,2560,2210,350,4,4,0,40,28,12,15.084,225,66.29541235746487,2413.7423023660094
14,128,64,15,0.199,0.106,0.093,4357,3817,541,2560,2210,350,4,4,0,40,28,12,15.084,225,66.29541235746487,2413.7423023660094
15,128,64,20,0.198,0.105,0.093,4363,3817,547,2561,2210,351,4,4,0,40,28,12,15.084,225,66.29541235746487,2413.7423023660094
16,256,8,10,0.21,0.117,0.093,5110,4563,548,2870,2522,348,2,2,0,46,34,12,15.084,421,66.29541235746487,322.5011983565036
17,256,8,13,0.21,0.117,0.093,5112,4563,550,2870,2522,348,2,2,0,46,34,12,15.084,421,66.29541235746487,322.5011983565036
18,256,8,15,0.21,0.117,0.093,5114,4563,552,2870,2522,348,2,2,0,46,34,12,15.084,421,66.29541235746487,322.5011983565036
19,256,8,20,0.21,0.117,0.093,5115,4563,553,2871,2522,349,2,2,0,46,34,12,15.084,421,66.29541235746487,322.5011983565036
20,256,16,10,0.21,0.117,0.093,5114,4563,552,2871,2522,349,2,2,0,46,34,12,15.084,421,66.29541235746487,645.0023967130072
21,256,16,13,0.21,0.117,0.093,5114,4563,552,2871,2522,349,2,2,0,46,34,12,15.084,421,66.29541235746487,645.0023967130072
22,256,16,15,0.21,0.117,0.093,5113,4563,551,2871,2522,349,2,2,0,46,34,12,15.084,421,66.29541235746487,645.0023967130072
23,256,16,20,0.21,0.117,0.093,5114,4563,552,2872,2522,350,2,2,0,46,34,12,15.084,421,66.29541235746487,645.0023967130072
24,256,32,10,0.21,0.117,0.093,5107,4563,545,2872,2522,350,2,2,0,46,34,12,15.084,421,66.29541235746487,1290.0047934260144
25,256,32,13,0.21,0.117,0.093,5113,4563,551,2872,2522,350,2,2,0,46,34,12,15.084,421,66.29541235746487,1290.0047934260144
26,256,32,15,0.21,0.117,0.093,5107,4563,545,2872,2522,350,2,2,0,46,34,12,15.084,421,66.29541235746487,1290.0047934260144
27,256,32,20,0.21,0.117,0.093,5112,4563,550,2873,2522,351,2,2,0,46,34,12,15.084,421,66.29541235746487,1290.0047934260144
28,256,64,10,0.21,0.117,0.093,5113,4563,551,2873,2522,351,2,2,0,46,34,12,15.084,421,66.29541235746487,2580.009586852029
29,256,64,13,0.21,0.117,0.093,5113,4563,551,2873,2522,351,2,2,0,46,34,12,15.084,421,66.29541235746487,2580.009586852029
30,256,64,15,0.21,0.117,0.093,5115,4563,553,2873,2522,351,2,2,0,46,34,12,15.084,421,66.29541235746487,2580.009586852029
31,256,64,20,0.21,0.117,0.093,5116,4563,554,2874,2522,352,2,2,0,46,34,12,15.084,421,66.29541235746487,2580.009586852029
32,512,8,10,0.233,0.14,0.093,6216,5662,555,3269,2920,349,2,2,0,52,40,12,15.084,809,66.29541235746487,335.6563770286478
33,512,8,13,0.233,0.14,0.093,6218,5662,557,3269,2920,349,2,2,0,52,40,12,15.084,809,66.29541235746487,335.6563770286478
34,512,8,15,0.233,0.14,0.093,6221,5662,560,3269,2920,349,2,2,0,52,40,12,15.084,809,66.29541235746487,335.6563770286478
35,512,8,20,0.233,0.14,0.093,6224,5662,563,3270,2920,350,2,2,0,52,40,12,15.084,809,66.29541235746487,335.6563770286478
36,512,16,10,0.233,0.14,0.093,6222,5662,561,3270,2920,350,2,2,0,52,40,12,15.084,809,66.29541235746487,671.3127540572956
37,512,16,13,0.233,0.14,0.093,6217,5662,556,3270,2920,350,2,2,0,52,40,12,15.084,809,66.29541235746487,671.3127540572956
38,512,16,15,0.233,0.14,0.093,6215,5662,554,3270,2920,350,2,2,0,52,40,12,15.084,809,66.29541235746487,671.3127540572956
39,512,16,20,0.233,0.14,0.093,6222,5662,561,3271,2920,351,2,2,0,52,40,12,15.084,809,66.29541235746487,671.3127540572956
40,512,32,10,0.233,0.14,0.093,6221,5662,560,3271,2920,351,2,2,0,52,40,12,15.084,809,66.29541235746487,1342.6255081145912
41,512,32,13,0.233,0.14,0.093,6221,5662,560,3271,2920,351,2,2,0,52,40,12,15.084,809,66.29541235746487,1342.6255081145912
42,512,32,15,0.233,0.14,0.093,6219,5662,558,3271,2920,351,2,2,0,52,40,12,15.084,809,66.29541235746487,1342.6255081145912
43,512,32,20,0.233,0.14,0.093,6226,5662,565,3272,2920,352,2,2,0,52,40,12,15.084,809,66.29541235746487,1342.6255081145912
44,512,64,10,0.233,0.14,0.093,6219,5662,558,3272,2920,352,2,2,0,52,40,12,15.084,809,66.29541235746487,2685.2510162291824
45,512,64,13,0.233,0.14,0.093,6221,5662,560,3272,2920,352,2,2,0,52,40,12,15.084,809,66.29541235746487,2685.2510162291824
46,512,64,15,0.233,0.14,0.093,6222,5662,561,3272,2920,352,2,2,0,52,40,12,15.084,809,66.29541235746487,2685.2510162291824
47,512,64,20,0.233,0.14,0.093,6228,5662,567,3273,2920,353,2,2,0,52,40,12,15.084,809,66.29541235746487,2685.2510162291824
48,1024,8,10,0.266,0.173,0.093,7802,7242,561,3716,3366,350,4,4,0,58,46,12,15.084,1581,66.29541235746487,343.51171286043774
49,1024,8,13,0.266,0.173,0.093,7805,7242,564,3716,3366,350,4,4,0,58,46,12,15.084,1581,66.29541235746487,343.51171286043774
50,1024,8,15,0.266,0.173,0.093,7810,7242,569,3716,3366,350,4,4,0,58,46,12,15.084,1581,66.29541235746487,343.51171286043774
51,1024,8,20,0.266,0.173,0.093,7813,7242,572,3717,3366,351,4,4,0,58,46,12,15.084,1581,66.29541235746487,343.51171286043774
52,1024,16,10,0.266,0.173,0.093,7806,7242,565,3717,3366,351,4,4,0,58,46,12,15.084,1581,66.29541235746487,687.0234257208755
53,1024,16,13,0.266,0.173,0.093,7807,7242,566,3717,3366,351,4,4,0,58,46,12,15.084,1581,66.29541235746487,687.0234257208755
54,1024,16,15,0.266,0.173,0.093,7809,7242,568,3717,3366,351,4,4,0,58,46,12,15.084,1581,66.29541235746487,687.0234257208755
55,1024,16,20,0.266,0.173,0.093,7809,7242,568,3718,3366,352,4,4,0,58,46,12,15.084,1581,66.29541235746487,687.0234257208755
56,1024,32,10,0.266,0.173,0.093,7806,7242,565,3718,3366,352,4,4,0,58,46,12,15.084,1581,66.29541235746487,1374.046851441751
57,1024,32,13,0.266,0.173,0.093,7809,7242,568,3718,3366,352,4,4,0,58,46,12,15.084,1581,66.29541235746487,1374.046851441751
58,1024,32,15,0.266,0.173,0.093,7805,7242,564,3718,3366,352,4,4,0,58,46,12,15.084,1581,66.29541235746487,1374.046851441751
59,1024,32,20,0.266,0.173,0.093,7810,7242,569,3719,3366,353,4,4,0,58,46,12,15.084,1581,66.29541235746487,1374.046851441751
60,1024,64,10,0.266,0.173,0.093,7807,7242,566,3719,3366,353,4,4,0,58,46,12,15.084,1581,66.29541235746487,2748.093702883502
61,1024,64,13,0.266,0.173,0.093,7807,7242,566,3719,3366,353,4,4,0,58,46,12,15.084,1581,66.29541235746487,2748.093702883502
62,1024,64,15,0.266,0.173,0.093,7808,7242,567,3719,3366,353,4,4,0,58,46,12,15.084,1581,66.29541235746487,2748.093702883502
63,1024,64,20,0.266,0.173,0.093,7813,7242,572,3720,3366,354,4,4,0,58,46,12,15.084,1581,66.29541235746487,2748.093702883502
